GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BudgetIn,com.kanggara.budgetin.models,WebResponse,0,6,0,0,0,2,0,2,0,2
BudgetIn,com.kanggara.budgetin.resolver,UserArgumentResolver,0,67,0,4,0,16,0,7,0,5
BudgetIn,com.kanggara.budgetin.security,BCrypt,166,6227,57,77,32,208,54,40,4,23
BudgetIn,com.kanggara.budgetin.config,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
BudgetIn,com.kanggara.budgetin.services,ContactService,0,257,0,6,0,56,0,13,0,10
BudgetIn,com.kanggara.budgetin.services,ValidationService,0,22,0,2,0,7,0,3,0,2
BudgetIn,com.kanggara.budgetin.services,UserService,0,111,0,10,0,31,0,10,0,5
BudgetIn,com.kanggara.budgetin.services,AuthService,0,112,0,6,0,31,0,9,0,6
BudgetIn,com.kanggara.budgetin.services,AddressService,16,236,0,0,0,54,4,12,4,12
BudgetIn,com.kanggara.budgetin,ServletInitializer,0,12,0,0,0,2,0,2,0,2
BudgetIn,com.kanggara.budgetin,WebConfiguration,0,15,0,0,0,6,0,2,0,2
BudgetIn,com.kanggara.budgetin,BudgetInApplication,0,8,0,0,0,3,0,2,0,2
BudgetIn,com.kanggara.budgetin.controllers,AddressController,0,71,0,0,0,16,0,6,0,6
BudgetIn,com.kanggara.budgetin.controllers,ErrorController,0,22,0,0,0,5,0,3,0,3
BudgetIn,com.kanggara.budgetin.controllers,HttpWebController,0,24,0,0,0,7,0,3,0,3
BudgetIn,com.kanggara.budgetin.controllers,UserController,0,36,0,0,0,9,0,4,0,4
BudgetIn,com.kanggara.budgetin.controllers,ContactController,0,92,0,0,0,23,0,6,0,6
BudgetIn,com.kanggara.budgetin.controllers,AuthController,0,25,0,0,0,7,0,3,0,3
